3

v02 a00 v00
-319.0 0.0 0.0
-68.0 0.0 0.0
5.0 0.0 0.0
-343.0 0.0 0.0
-34.0 0.0 0.0
-129.0 0.0 0.0
-60.0 0.0 0.0
-134.0 0.0 0.0
-388.0 0.0 0.0
-185.0 0.0 0.0
-146.0 0.0 0.0
-153.0 0.0 0.0
-63.0 0.0 0.0
-140.0 0.0 0.0
-106.0 0.0 0.0
0.0 0.0 0.0
-375.0 0.0 0.0
-173.0 0.0 0.0
-150.0 0.0 0.0
-137.0 0.0 0.0
-170.0 0.0 0.0
-162.0 0.0 0.0
-75.0 0.0 0.0
-292.0 0.0 0.0
-144.0 0.0 0.0
-126.0 0.0 0.0
-144.0 0.0 0.0
-119.0 0.0 0.0
-390.0 0.0 0.0
-2.0 0.0 0.0
-351.0 0.0 0.0
-27.0 0.0 0.0
-62.0 0.0 0.0
-210.0 0.0 0.0
-548.0 0.0 0.0
-351.0 0.0 0.0
-49.0 0.0 0.0
-174.0 0.0 0.0
-603.0 0.0 0.0
-179.0 0.0 0.0
-461.0 0.0 0.0
-252.0 0.0 0.0
-15.0 0.0 0.0
58.0 0.0 0.0
-314.0 0.0 0.0
-112.0 0.0 0.0
7.0 0.0 0.0
-623.0 0.0 0.0
-285.0 0.0 0.0
-44.0 0.0 0.0
-441.0 0.0 0.0
-445.0 0.0 0.0
-445.0 0.0 0.0
-44.0 0.0 0.0
-72.0 0.0 0.0
-379.0 0.0 0.0
-379.0 0.0 0.0
-168.0 0.0 0.0
-202.0 0.0 0.0
-305.0 0.0 0.0
-171.0 0.0 0.0
-137.0 0.0 0.0
-97.0 0.0 0.0
-175.0 0.0 0.0
-163.0 0.0 0.0
-191.0 0.0 0.0
-51.0 0.0 0.0
-288.0 0.0 0.0
-217.0 0.0 0.0
-304.0 0.0 0.0
-49.0 0.0 0.0
-257.0 0.0 0.0
-91.0 0.0 0.0
-163.0 0.0 0.0
-315.0 0.0 0.0
-188.0 0.0 0.0
-63.0 0.0 0.0
-107.0 0.0 0.0
-104.0 0.0 0.0
-32.0 0.0 0.0
-134.0 0.0 0.0
-150.0 0.0 0.0
-305.0 0.0 0.0
-153.0 0.0 0.0
-81.0 0.0 0.0
-147.0 0.0 0.0
-115.0 0.0 0.0
-136.0 0.0 0.0
-69.0 0.0 0.0
-51.0 0.0 0.0
-144.0 0.0 0.0
-154.0 0.0 0.0
-95.0 0.0 0.0
-110.0 0.0 0.0
-246.0 0.0 0.0
-42.0 0.0 0.0
-152.0 0.0 0.0
-242.0 0.0 0.0
55.0 0.0 0.0
58.0 0.0 0.0
-90.0 0.0 0.0
-10.0 0.0 0.0
-135.0 0.0 0.0
-51.0 0.0 0.0
35.0 0.0 0.0
-18.0 0.0 0.0
-68.0 0.0 0.0
-6.0 0.0 0.0
-173.0 0.0 0.0
31.0 0.0 0.0
-115.0 0.0 0.0
-73.0 0.0 0.0
-85.0 0.0 0.0
-144.0 0.0 0.0
-126.0 0.0 0.0
-136.0 0.0 0.0
10.0 0.0 0.0
-13.0 0.0 0.0
-56.0 0.0 0.0
-81.0 0.0 0.0
-38.0 0.0 0.0
-43.0 0.0 0.0
-83.0 0.0 0.0
-90.0 0.0 0.0
-89.0 0.0 0.0
-70.0 0.0 0.0
-155.0 0.0 0.0
-99.0 0.0 0.0
-65.0 0.0 0.0
-93.0 0.0 0.0
-45.0 0.0 0.0
-25.0 0.0 0.0
-12.0 0.0 0.0
-48.0 0.0 0.0
-112.0 0.0 0.0
-131.0 0.0 0.0
-95.0 0.0 0.0
21.0 0.0 0.0
-167.0 0.0 0.0
-123.0 0.0 0.0
-55.0 0.0 0.0
-119.0 0.0 0.0
-76.0 0.0 0.0
-57.0 0.0 0.0
-140.0 0.0 0.0
-79.0 0.0 0.0
-101.0 0.0 0.0
-172.0 0.0 0.0
-82.0 0.0 0.0
-30.0 0.0 0.0
-134.0 0.0 0.0
54.0 0.0 0.0
-117.0 0.0 0.0
-20.0 0.0 0.0
-357.0 0.0 0.0
-118.0 0.0 0.0
-241.0 0.0 0.0
-333.0 0.0 0.0
-62.0 0.0 0.0
-159.0 0.0 0.0
39.0 0.0 0.0
-116.0 0.0 0.0
105.0 0.0 0.0
11.0 0.0 0.0
-300.0 0.0 0.0
-346.0 0.0 0.0
92.0 0.0 0.0
-260.0 0.0 0.0
-73.0 0.0 0.0
34.0 0.0 0.0
-13.0 0.0 0.0
-35.0 0.0 0.0
-192.0 0.0 0.0
55.0 0.0 0.0
-356.0 0.0 0.0
-188.0 0.0 0.0
-424.0 0.0 0.0
-170.0 0.0 0.0
-24.0 0.0 0.0
-125.0 0.0 0.0
-234.0 0.0 0.0
-75.0 0.0 0.0
-44.0 0.0 0.0
-124.0 0.0 0.0
-104.0 0.0 0.0
-87.0 0.0 0.0
-230.0 0.0 0.0
-207.0 0.0 0.0
-155.0 0.0 0.0
-35.0 0.0 0.0
-35.0 0.0 0.0
-23.0 0.0 0.0
