4

v02 a00 a01 v00

20.0 0.11646159299205022 0.010085438068206377 0.0
79.0 0.12152514051344371 0.010085438068206377 0.0
30.0 0.12152514051344371 0.00864466120131975 0.0
21.0 0.12152514051344371 0.00864466120131975 0.0
-610.0 0.11646159299205022 0.011526214935093001 0.0
-167.0 0.11646159299205022 0.010085438068206377 0.0
31.0 0.1265886880348372 0.00864466120131975 0.0
-88.0 0.12152514051344371 0.010085438068206377 0.0
-42.0 0.13165223555623068 0.010085438068206377 0.0
-457.0 0.11646159299205022 0.011526214935093001 0.0
-371.0 0.1265886880348372 0.014407768668866252 0.0
91.0 0.15190642564180465 0.011526214935093001 0.0
-139.0 0.14177933059901768 0.011526214935093001 0.0
-410.0 0.1265886880348372 0.011526214935093001 0.0
-587.0 0.12152514051344371 0.010085438068206377 0.0
-408.0 0.13671578307762416 0.014407768668866252 0.0
-340.0 0.15190642564180465 0.014407768668866252 0.0
120.0 0.13165223555623068 0.015848545535752878 0.0
61.0 0.1265886880348372 0.012966991801979626 0.0
-14.0 0.1265886880348372 0.015848545535752878 0.0
-68.0 0.13165223555623068 0.015848545535752878 0.0
-410.0 0.1265886880348372 0.015848545535752878 0.0
102.0 0.1265886880348372 0.011526214935093001 0.0
28.0 0.14177933059901768 0.014407768668866252 0.0
3.0 0.1265886880348372 0.012966991801979626 0.0
-339.0 0.1265886880348372 0.012966991801979626 0.0
-14.0 0.13165223555623068 0.010085438068206377 0.0
-209.0 0.1265886880348372 0.012966991801979626 0.0
-569.0 0.12152514051344371 0.014407768668866252 0.0
-579.0 0.1265886880348372 0.012966991801979626 0.0
78.0 0.13671578307762416 0.011526214935093001 0.0
-463.0 0.1265886880348372 0.018730099269526127 0.0
13.0 0.15190642564180465 0.012966991801979626 0.0
-12.0 0.14684287812041116 0.014407768668866252 0.0
-214.0 0.12152514051344371 0.015848545535752878 0.0
-29.0 0.14177933059901768 0.012966991801979626 0.0
-219.0 0.12152514051344371 0.014407768668866252 0.0
-192.0 0.1265886880348372 0.0172893224026395 0.0
-202.0 0.16203352068459162 0.012966991801979626 0.0
48.0 0.15696997316319813 0.015848545535752878 0.0
-182.0 0.13165223555623068 0.012966991801979626 0.0
-101.0 0.13165223555623068 0.0172893224026395 0.0
-81.0 0.13165223555623068 0.018730099269526127 0.0
-48.0 0.1721606157273786 0.014407768668866252 0.0
-509.0 0.15190642564180465 0.014407768668866252 0.0
-363.0 0.1721606157273786 0.014407768668866252 0.0
-18.0 0.13671578307762416 0.018730099269526127 0.0
-197.0 0.19241480581295253 0.015848545535752878 0.0
-464.0 0.19241480581295253 0.015848545535752878 0.0
-553.0 0.20760544837713302 0.020170876136412753 0.0
-473.0 0.15190642564180465 0.014407768668866252 0.0
-67.0 0.14684287812041116 0.0172893224026395 0.0
-554.0 0.19747835333434605 0.0172893224026395 0.0
-307.0 0.15696997316319813 0.0172893224026395 0.0
-426.0 0.18228771077016556 0.015848545535752878 0.0
-491.0 0.15190642564180465 0.020170876136412753 0.0
6.0 0.16203352068459162 0.020170876136412753 0.0
-121.0 0.15190642564180465 0.020170876136412753 0.0
54.0 0.14684287812041116 0.020170876136412753 0.0
-132.0 0.14177933059901768 0.018730099269526127 0.0
-634.0 0.14177933059901768 0.020170876136412753 0.0
-291.0 0.14177933059901768 0.018730099269526127 0.0
-505.0 0.14177933059901768 0.020170876136412753 0.0
43.0 0.14684287812041116 0.0172893224026395 0.0
-331.0 0.13671578307762416 0.020170876136412753 0.0
-24.0 0.13671578307762416 0.014407768668866252 0.0
-112.0 0.14684287812041116 0.02449320673707263 0.0
-496.0 0.13671578307762416 0.018730099269526127 0.0
-162.0 0.13165223555623068 0.020170876136412753 0.0
26.0 0.15696997316319813 0.0172893224026395 0.0
-152.0 0.1265886880348372 0.020170876136412753 0.0
19.0 0.13671578307762416 0.02449320673707263 0.0
15.0 0.16203352068459162 0.018730099269526127 0.0
-53.0 0.13165223555623068 0.02449320673707263 0.0
-55.0 0.1721606157273786 0.020170876136412753 0.0
-20.0 0.18735125829155905 0.020170876136412753 0.0
-44.0 0.1670970682059851 0.015848545535752878 0.0
-55.0 0.13671578307762416 0.02449320673707263 0.0
-234.0 0.18735125829155905 0.015848545535752878 0.0
-90.0 0.20254190085573953 0.020170876136412753 0.0
-354.0 0.27343156615524833 0.034578644805279 0.0
